,Location_Key,Location_Type,Depth,Diameter,Owner,Lat,Lon
109,ACD373,Well,990.0,10.0,PUD NOL OF KITSAP COUNTY,47.506313888888904,-122.548516666667
110,ACD374,Well,108.0,6.0,NE-SI-KA BAY CO,47.7062277777778,-122.602377777778
111,ACD385,Well,,,,47.7787805555556,-122.488719444444
112,ACD855,Well,,,,47.7739305555556,-122.512316666667
113,ACG501,Well,906.0,12.0,KITSAP CO PUD 1,47.6353194444444,-122.758455555556
114,ACG504,Well,358.0,8.0,AL CHATEL,47.613561111111096,-122.819916666667
115,ACG506,Well,,,,47.7499333333333,-122.69058611111099
116,ACK364,Well,,,,47.6045194444444,-122.544977777778
117,ACK368,Well,384.0,8.0,STAVIS CREEK WATER SYSTEM,47.574447222222204,-122.89112222222201
118,ACK369,Well,,,,47.6482194444444,-122.777275
119,ACK371,Well,143.0,6.0,LARA - LEE CORP.,47.5916805555556,-122.835394444444
120,ACK372,Well,,,,47.6057111111111,-122.770066666667
121,ACK373,Well,176.0,6.0,BEN LORENZ,47.6055888888889,-122.770075
122,ACK457,Well,,,,47.48305277777779,-122.664033333333
123,ACR352,Well,,,,47.5979222222222,-122.82590833333299
124,ACR353,Well,,,,47.597661111111094,-122.826047222222
125,ACR354,Well,,,,47.6009,-122.8264
126,ACR355,Well,92.4,8.0,P.U.D. #1 Of Kitsap County DAVE SYMINGTON,47.5953861111111,-122.836288888889
127,ACR356,Well,66.0,8.0,P.U. D. #1 Of Kitsap County DAVE SYMINGTON,47.5954305555556,-122.8349
128,ACW030,Well,198.0,12.0,MORRIE BLOSSOM,47.6044611111111,-122.545563888889
129,AEC948,Well,495.5,8.0,PUD 1 KITSAP CO,47.7521583333333,-122.541602777778
130,AEK852,Well,149.0,8.0,NORTH BAINBRIDGE WATER CO.,47.6725,-122.54955277777799
131,AEK853,Well,105.0,8.0,NORTH BAINBRIDGE WATER CO.,47.6732305555556,-122.547541666667
132,AES172,Well,,,,47.7842444444444,-122.673583333333
133,AES249,Well,175.0,6.0,KURT WAGGONER,47.848227777777794,-122.603375
134,AES259,Well,,,,47.7122611111111,-122.61065
135,AES313,Well,180.0,6.0,RILEY M PRIDDY,47.648611111111094,-122.842777777778
136,AES315,Well,,,,47.8523,-122.596736111111
137,AET413,Well,661.0,12.0,KITSAP CO PUD 1,47.6134583333333,-122.819708333333
138,AFC506,Well,451.0,12.0,PUD NO 1 OF KITSAP COUNTY,47.8016805555555,-122.654133333333
139,AKR190,Well,135.0,8.0,PUD NO 1 OF KITSAP CO,47.4791333333333,-122.529425
140,ALK129,Well,440.0,16.0,KITSAP CO PUD 1,47.805427777777794,-122.506822222222
141,ALK301,Well,743.0,12.0,KITSAP PUD,47.613222222222205,-122.819722222222
142,AHB466,Well,71.0,6.0,STEVE VELIE,47.808929299999996,-122.5187088
143,BHN761,Well,90.0,6.0,POPE RESOUORCES | GOLDER ASSOCIATES,47.8439776,-122.59294229999999
